Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-002,MEDIUM,Long method — labourOperations() is 66 lines,ElectronicServiceAssistantServiceImpl.java,1059,D1,,NO
D1-002,MEDIUM,Long method — createServiceHistoryResponse() is 36 lines,EsaServiceHistoryImpl.java,119,D1,,NO
D1-002,MEDIUM,Long method — mapServiceHistoryResponse() is 48 lines,EsaServiceHistoryImpl.java,212,D1,,NO
D1-002,MEDIUM,Long method — mapOperationsResponse() is 39 lines,EsaServiceHistoryImpl.java,268,D1,,NO
D1-002,MEDIUM,Long method — getLatestMileageDetails() is 46 lines,EsaServiceHistoryImpl.java,335,D1,,NO
D1-002,MEDIUM,Long method — getVinResponse() is 35 lines,RecoverDescriptionServiceImpl.java,130,D1,,NO
D1-002,MEDIUM,Long method — fetchVehicleDescriptionForDaig() is 43 lines,RecoverDescriptionServiceImpl.java,175,D1,,NO
D1-004,LOW,Magic number 408 in fetchVehicleDescriptionForDaig(),RecoverDescriptionServiceImpl.java,205,D1,,NO
D1-002,MEDIUM,Long method — fetchVehicleDescriptionForNonDaig() is 43 lines,RecoverDescriptionServiceImpl.java,229,D1,,NO
D1-004,LOW,Magic number 408 in fetchVehicleDescriptionForNonDaig(),RecoverDescriptionServiceImpl.java,264,D1,,NO
D1-002,MEDIUM,Long method — checkForHub() is 32 lines,RecoverDescriptionServiceImpl.java,281,D1,,NO
D1-002,MEDIUM,Long method — processVinData() is 31 lines,RecoverDescriptionServiceImpl.java,322,D1,,NO
D1-004,LOW,Magic number 4 in processVinData(),RecoverDescriptionServiceImpl.java,345,D1,,NO
D1-002,MEDIUM,Long method — mapPcdResponse() is 108 lines,RecoverDescriptionServiceImpl.java,555,D1,,NO
D1-002,MEDIUM,Long method — getLicensePlateDataForVin() is 39 lines,RecoverDescriptionServiceImpl.java,721,D1,,NO
D1-002,MEDIUM,Long method — handleWarrantyResponse() is 72 lines,RecoverDescriptionServiceImpl.java,768,D1,,NO
D1-002,MEDIUM,Long method — getSagaiContract() is 40 lines,SagaiContractServiceImpl.java,71,D1,,NO
D1-002,MEDIUM,Long method — callSagaiService() is 35 lines,SagaiContractServiceImpl.java,159,D1,,NO
D1-001,MEDIUM,God class — 28 methods in SagaiWarrantyServiceImpl,SagaiWarrantyServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarranty() is 37 lines,SagaiWarrantyServiceImpl.java,154,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsCentral() is 48 lines,SagaiWarrantyServiceImpl.java,199,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsLocal() is 48 lines,SagaiWarrantyServiceImpl.java,255,D1,,NO
D1-003,LOW,Too many params — setSagaiWarrantyClaimDetails() has 7 parameters,SagaiWarrantyServiceImpl.java,317,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsData() is 79 lines,SagaiWarrantyServiceImpl.java,353,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyOvData() is 54 lines,SagaiWarrantyServiceImpl.java,440,D1,,NO
D1-002,MEDIUM,Long method — setSagaiRecallCampaigns() is 49 lines,SagaiWarrantyServiceImpl.java,501,D1,,NO
