Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_VERIFICATION_FAILED in ErrorMessageConstants,ErrorMessageConstants.java,458,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_REPAIRER_COUNTRY_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,464,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USER_COUNTRY_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,467,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LOCALE_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,470,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_AUTH_TOKEN_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,485,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_ISS_TOKEN_IS_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,488,D11,,YES
D1-001,MEDIUM,God class — 42 methods in HubPayloadResponse,HubPayloadResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 42 methods in PanierPayloadResponse,PanierPayloadResponse.java,0,D1,,NO
D6-001,CRITICAL,SQL INJECTION — string concatenation in getSubmissionHistoryByVin(),BrandcareRepositoryImpl.java,194,D6,,YES
D1-002,MEDIUM,Long method — authenticateWithLdap() is 31 lines,AuthenticationResource.java,98,D1,,NO
D1-002,MEDIUM,Long method — validateAllucareToken() is 105 lines,AuthenticationResource.java,137,D1,,NO
D1-002,MEDIUM,Long method — checkMandatoryParametersForHub() is 89 lines,AuthenticationResource.java,283,D1,,NO
D1-002,MEDIUM,Long method — checkMandatoryParametersForPanier() is 134 lines,AuthenticationResource.java,381,D1,,NO
D11-001,CRITICAL,Hardcoded credential — TOKEN in AuthenticationResource,AuthenticationResource.java,77,D11,,YES
D1-002,MEDIUM,Long method — getBrandcareForm() is 82 lines,BrandcareResource.java,81,D1,,NO
D1-004,LOW,Magic number 401 in getBrandcareForm(),BrandcareResource.java,85,D1,,NO
D1-004,LOW,Magic number 400 in getBrandcareForm(),BrandcareResource.java,86,D1,,NO
D1-002,MEDIUM,Long method — getSubmissionHistoryByVin() is 67 lines,BrandcareResource.java,172,D1,,NO
D1-004,LOW,Magic number 401 in getSubmissionHistoryByVin(),BrandcareResource.java,176,D1,,NO
D1-002,MEDIUM,Long method — submitBrandcareForm() is 77 lines,BrandcareResource.java,249,D1,,NO
D1-004,LOW,Magic number 401 in submitBrandcareForm(),BrandcareResource.java,253,D1,,NO
D1-004,LOW,Magic number 206 in submitBrandcareForm(),BrandcareResource.java,255,D1,,NO
